OrderID,OrderDate,Year,CustomerID,ModelID,PaintColor,OrderQuantity,DealSize,UnitPrice,SalesAmount
O00029,2025-03-14,2025,C0008,M02,Jet Black,6,Small,498258.00,2989548.00
O00030,2025-06-06,2025,C0071,M02,Yellow,4,Small,498258.00,1993032.00
O00031,2025-12-02,2025,C0062,M02,Yellow,1,Small,498258.00,498258.00
O00032,2024-06-18,2024,C0063,M01,Yellow,9,Small,2640000.00,23760000.00
O00033,2024-08-24,2024,C0085,M04,Jet Black,4,Small,246495.00,985980.00
O00034,2026-02-09,2026,C0031,M01,Green,13,Medium,2640000.00,34320000.00
O00035,2025-07-31,2025,C0135,M02,Green,14,Medium,498258.00,6975612.00
O00036,2025-12-25,2025,C0004,M01,Alpine White,1,Small,2640000.00,2640000.00
O00037,2025-09-24,2025,C0033,M03,Phytonic Blue,1,Small,246170.00,246170.00
O00038,2024-08-08,2024,C0113,M02,Green,8,Small,498258.00,3986064.00
O00040,2026-12-23,2026,C0022,M04,Alpine White,19,Medium,246495.00,4683405.00
O00041,2024-10-05,2024,C0134,M03,Melbourne Red,7,Small,246170.00,1723190.00
O00042,2026-10-26,2026,C0026,M03,Alpine White,2,Small,246170.00,492340.00
O00044,2025-12-19,2025,C0073,M01,Jet Black,14,Medium,2640000.00,36960000.00
O00045,2024-12-07,2024,C0051,M03,Yellow,14,Medium,246170.00,3446380.00
O00046,2026-04-13,2026,C0043,M01,Yellow,14,Medium,2640000.00,36960000.00
O00047,2025-12-14,2025,C0078,M02,Green,8,Small,498258.00,3986064.00
O00048,2026-01-29,2026,C0111,M03,Yellow,4,Small,246170.00,984680.00
O00049,2026-12-30,2026,C0006,M04,Yellow,1,Small,246495.00,246495.00
O00050,2025-10-12,2025,C0133,M01,Melbourne Red,7,Small,2640000.00,18480000.00
O00051,2025-02-08,2025,C0024,M02,Jet Black,2,Small,498258.00,996516.00
O00052,2024-05-23,2024,C0127,M02,Green,18,Medium,498258.00,8968644.00
O00053,2024-07-14,2024,C0065,M01,Green,9,Small,2640000.00,23760000.00
O00054,2025-01-28,2025,C0139,M01,Alpine White,8,Small,2640000.00,21120000.00
O00055,2024-04-21,2024,C0053,M03,Alpine White,8,Small,246170.00,1969360.00
O00056,2025-12-27,2025,C0062,M04,Jet Black,7,Small,246495.00,1725465.00
O00057,2025-01-27,2025,C0030,M04,Alpine White,17,Medium,246495.00,4190415.00
O00058,2024-11-24,2024,C0070,M01,Jet Black,8,Small,2640000.00,21120000.00
O00059,2026-02-13,2026,C0131,M02,Alpine White,7,Small,498258.00,3487806.00
O00060,2026-05-19,2026,C0069,M03,Jet Black,8,Small,246170.00,1969360.00
O00061,2024-08-15,2024,C0124,M02,Yellow,8,Small,498258.00,3986064.00
O00062,2025-06-27,2025,C0062,M04,Alpine White,10,Medium,246495.00,2464950.00
O00063,2024-10-13,2024,C0098,M02,Yellow,12,Medium,498258.00,5979096.00
O00064,2026-11-17,2026,C0129,M01,Jet Black,8,Small,2640000.00,21120000.00
O00065,2026-01-13,2026,C0004,M04,Jet Black,12,Medium,246495.00,2957940.00
O00066,2024-08-05,2024,C0068,M03,Phytonic Blue,15,Medium,246170.00,3692550.00
O00067,2026-11-03,2026,C0098,M04,Yellow,35,Large,246495.00,8627325.00
O00068,2024-03-02,2024,C0018,M01,Phytonic Blue,4,Small,2640000.00,10560000.00
O00069,2026-03-02,2026,C0026,M02,Phytonic Blue,3,Small,498258.00,1494774.00
O00070,2024-07-15,2024,C0012,M04,Alpine White,7,Small,246495.00,1725465.00
O00072,2024-02-27,2024,C0037,M02,Yellow,1,Small,498258.00,498258.00
O00073,2025-11-15,2025,C0074,M02,Alpine White,6,Small,498258.00,2989548.00
O00074,2025-12-02,2025,C0109,M01,Jet Black,7,Small,2640000.00,18480000.00
O00075,2025-06-28,2025,C0098,M01,Yellow,29,Large,2640000.00,76560000.00
O00076,2024-05-02,2024,C0102,M04,Yellow,10,Medium,246495.00,2464950.00
O00077,2026-03-22,2026,C0074,M03,Alpine White,13,Medium,246170.00,3200210.00
O00078,2025-09-11,2025,C0036,M03,Melbourne Red,14,Medium,246170.00,3446380.00
O00079,2026-01-26,2026,C0094,M01,Alpine White,7,Small,2640000.00,18480000.00
O00080,2026-07-29,2026,C0139,M01,Jet Black,5,Small,2640000.00,13200000.00
O00081,2026-11-20,2026,C0124,M01,Jet Black,11,Medium,2640000.00,29040000.00
O00082,2026-07-08,2026,C0058,M01,Phytonic Blue,31,Large,2640000.00,81840000.00
O00083,2025-05-11,2025,C0068,M02,Jet Black,14,Medium,498258.00,6975612.00
O00085,2025-09-20,2025,C0017,M03,Jet Black,16,Medium,246170.00,3938720.00
O00086,2024-06-16,2024,C0010,M01,Yellow,9,Small,2640000.00,23760000.00
O00087,2024-11-29,2024,C0139,M02,Phytonic Blue,7,Small,498258.00,3487806.00
O00088,2026-10-16,2026,C0105,M04,Jet Black,13,Medium,246495.00,3204435.00
O00090,2026-10-28,2026,C0032,M01,Melbourne Red,4,Small,2640000.00,10560000.00
O00092,2025-07-17,2025,C0054,M03,Phytonic Blue,3,Small,246170.00,738510.00
O00093,2026-07-06,2026,C0071,M03,Alpine White,5,Small,246170.00,1230850.00
O00096,2025-07-27,2025,C0132,M03,Jet Black,1,Small,246170.00,246170.00
O00097,2024-06-12,2024,C0134,M04,Yellow,8,Small,246495.00,1971960.00
O00098,2025-03-08,2025,C0028,M02,Melbourne Red,2,Small,498258.00,996516.00
O00099,2024-05-03,2024,C0033,M01,Yellow,6,Small,2640000.00,15840000.00
O00100,2025-01-16,2025,C0076,M03,Yellow,2,Small,246170.00,492340.00
O00101,2024-12-14,2024,C0056,M03,Melbourne Red,8,Small,246170.00,1969360.00
O00102,2024-12-09,2024,C0081,M03,Yellow,3,Small,246170.00,738510.00
O00103,2026-06-02,2026,C0024,M02,Alpine White,6,Small,498258.00,2989548.00
O00104,2025-11-05,2025,C0085,M03,Jet Black,16,Medium,246170.00,3938720.00
O00105,2025-08-05,2025,C0074,M03,Jet Black,13,Medium,246170.00,3200210.00
O00106,2024-08-22,2024,C0028,M02,Yellow,5,Small,498258.00,2491290.00
O00107,2025-08-16,2025,C0007,M03,Yellow,10,Medium,246170.00,2461700.00
O00108,2026-09-24,2026,C0080,M03,Jet Black,3,Small,246170.00,738510.00
O00109,2026-02-06,2026,C0037,M02,Green,9,Small,498258.00,4484322.00
O00111,2025-11-10,2025,C0013,M01,Jet Black,17,Medium,2640000.00,44880000.00
O00112,2026-02-24,2026,C0056,M02,Alpine White,5,Small,498258.00,2491290.00
O00113,2025-11-01,2025,C0135,M03,Alpine White,1,Small,246170.00,246170.00
O00114,2026-03-11,2026,C0055,M01,Phytonic Blue,2,Small,2640000.00,5280000.00
O00116,2024-10-28,2024,C0019,M03,Phytonic Blue,8,Small,246170.00,1969360.00
O00117,2025-06-30,2025,C0110,M04,Phytonic Blue,2,Small,246495.00,492990.00
O00118,2026-04-24,2026,C0044,M04,Yellow,15,Medium,246495.00,3697425.00
O00119,2024-12-22,2024,C0063,M04,Jet Black,5,Small,246495.00,1232475.00
O00121,2024-03-05,2024,C0038,M02,Alpine White,3,Small,498258.00,1494774.00
O00122,2026-10-31,2026,C0046,M03,Yellow,8,Small,246170.00,1969360.00
O00123,2026-07-13,2026,C0083,M04,Yellow,2,Small,246495.00,492990.00
O00124,2025-07-24,2025,C0071,M03,Jet Black,8,Small,246170.00,1969360.00
O00126,2025-01-11,2025,C0011,M02,Phytonic Blue,15,Medium,498258.00,7473870.00
O00127,2025-01-12,2025,C0016,M02,Phytonic Blue,11,Medium,498258.00,5480838.00
O00128,2025-12-25,2025,C0064,M01,Green,3,Small,2640000.00,7920000.00
O00129,2024-11-14,2024,C0100,M04,Jet Black,15,Medium,246495.00,3697425.00
O00130,2024-05-17,2024,C0099,M01,Phytonic Blue,19,Medium,2640000.00,50160000.00
O00131,2026-09-18,2026,C0037,M02,Jet Black,16,Medium,498258.00,7972128.00
O00132,2024-06-23,2024,C0022,M03,Jet Black,12,Medium,246170.00,2954040.00
O00134,2024-08-10,2024,C0055,M01,Phytonic Blue,3,Small,2640000.00,7920000.00
O00135,2025-04-01,2025,C0026,M01,Yellow,18,Medium,2640000.00,47520000.00
O00136,2025-08-01,2025,C0034,M02,Alpine White,3,Small,498258.00,1494774.00
O00137,2025-11-14,2025,C0094,M01,Alpine White,5,Small,2640000.00,13200000.00
O00138,2025-05-07,2025,C0060,M03,Jet Black,17,Medium,246170.00,4184890.00
O00139,2025-01-27,2025,C0113,M01,Jet Black,9,Small,2640000.00,23760000.00
O00140,2026-04-24,2026,C0052,M01,Alpine White,8,Small,2640000.00,21120000.00
O00141,2025-12-30,2025,C0027,M03,Yellow,2,Small,246170.00,492340.00
O00143,2024-11-23,2024,C0007,M04,Jet Black,7,Small,246495.00,1725465.00
O00144,2024-07-07,2024,C0008,M02,Alpine White,15,Medium,498258.00,7473870.00
O00145,2026-09-18,2026,C0074,M01,Jet Black,17,Medium,2640000.00,44880000.00
O00147,2024-06-11,2024,C0061,M03,Alpine White,8,Small,246170.00,1969360.00
O00148,2025-07-31,2025,C0128,M04,Alpine White,4,Small,246495.00,985980.00
O00151,2026-12-07,2026,C0100,M02,Alpine White,2,Small,498258.00,996516.00
O00152,2026-03-17,2026,C0027,M03,Phytonic Blue,1,Small,246170.00,246170.00
O00153,2026-05-31,2026,C0045,M02,Phytonic Blue,35,Large,498258.00,17439030.00
O00154,2026-01-05,2026,C0017,M03,Green,4,Small,246170.00,984680.00
O00155,2024-07-02,2024,C0011,M01,Jet Black,9,Small,2640000.00,23760000.00
O00156,2024-05-19,2024,C0049,M01,Melbourne Red,6,Small,2640000.00,15840000.00
O00157,2026-08-14,2026,C0112,M03,Phytonic Blue,32,Large,246170.00,7877440.00
O00158,2024-09-16,2024,C0128,M01,Phytonic Blue,2,Small,2640000.00,5280000.00
O00166,2026-12-26,2026,C0055,M03,Jet Black,35,Large,246170.00,8615950.00
O00169,2026-04-14,2026,C0045,M04,Yellow,4,Small,246495.00,985980.00
O00171,2024-06-23,2024,C0017,M04,Green,18,Medium,246495.00,4436910.00
O00173,2026-03-12,2026,C0047,M02,Alpine White,1,Small,498258.00,498258.00
O00175,2026-06-20,2026,C0073,M02,Alpine White,18,Medium,498258.00,8968644.00
O00177,2026-06-16,2026,C0087,M03,Yellow,10,Medium,246170.00,2461700.00
O00182,2024-07-07,2024,C0028,M02,Jet Black,4,Small,498258.00,1993032.00
O00186,2024-05-12,2024,C0013,M02,Yellow,17,Medium,498258.00,8470386.00
O00187,2024-12-15,2024,C0028,M01,Melbourne Red,16,Medium,2640000.00,42240000.00
O00188,2024-09-09,2024,C0050,M02,Jet Black,8,Small,498258.00,3986064.00
O00190,2024-01-06,2024,C0037,M02,Yellow,1,Small,498258.00,498258.00
O00192,2024-10-22,2024,C0042,M03,Yellow,19,Medium,246170.00,4677230.00
O00197,2024-11-16,2024,C0053,M01,Phytonic Blue,21,Large,2640000.00,55440000.00
O00199,2024-08-28,2024,C0140,M02,Phytonic Blue,14,Medium,498258.00,6975612.00
O00200,2024-05-09,2024,C0064,M01,Jet Black,29,Large,2640000.00,76560000.00
